area,audit_status,evidence,note
BD0010,social-keep,22c-filler-audit-early-and-travel.md,Social/recruit/shop/quest staging; no broad NPC-density cut proposed.
BD0020,social-keep,22c-filler-audit-early-and-travel.md,Social/recruit/shop/quest staging; no broad NPC-density cut proposed.
BD0021,social-keep,22c-filler-audit-early-and-travel.md,Social/recruit/shop/quest staging; no broad NPC-density cut proposed.
BD0030,social-keep,22c-filler-audit-early-and-travel.md,Social/recruit/shop/quest staging; no broad NPC-density cut proposed.
BD0035,social-keep,22c-filler-audit-early-and-travel.md,Social/recruit/shop/quest staging; no broad NPC-density cut proposed.
BD0040,social-keep,22c-filler-audit-early-and-travel.md,Social/recruit/shop/quest staging; no broad NPC-density cut proposed.
BD0050,social-keep,22c-filler-audit-early-and-travel.md,Social/recruit/shop/quest staging; no broad NPC-density cut proposed.
BD0060,deferred-arena,22c-filler-audit-early-and-travel.md,Full cut versus consolidation OPEN; loot and optional-path XP need a decision.
BD0061,deferred-arena,22c-filler-audit-early-and-travel.md,Full cut versus consolidation OPEN; loot and optional-path XP need a decision.
BD0062,deferred-arena,22c-filler-audit-early-and-travel.md,Full cut versus consolidation OPEN; loot and optional-path XP need a decision.
BD0063,deferred-arena,22c-filler-audit-early-and-travel.md,Full cut versus consolidation OPEN; loot and optional-path XP need a decision.
BD0064,deferred-arena,22c-filler-audit-early-and-travel.md,Full cut versus consolidation OPEN; loot and optional-path XP need a decision.
BD0065,unused-slot,22c-filler-audit-early-and-travel.md,No current direct URE destination or placed actors; no speculative filler removal.
BD0066,deferred-arena,22c-filler-audit-early-and-travel.md,Full cut versus consolidation OPEN; loot and optional-path XP need a decision.
BD0067,deferred-arena,22c-filler-audit-early-and-travel.md,Full cut versus consolidation OPEN; loot and optional-path XP need a decision.
BD0070,unused-slot,22c-filler-audit-early-and-travel.md,No current direct URE destination or placed actors; no speculative filler removal.
BD0071,unused-slot,22c-filler-audit-early-and-travel.md,No current direct URE destination or placed actors; no speculative filler removal.
BD0072,unused-slot,22c-filler-audit-early-and-travel.md,No current direct URE destination or placed actors; no speculative filler removal.
